nombre;descripcion;precio_mensual;duracion_meses;clases_incluidas;acceso_areas_especiales;estado
Elite 1;Acceso total a todas las áreas;119.45;24;9;1;0
Premium 2;Plan diseñado para principiantes;27.55;18;12;0;1
Premium 3;Acceso a áreas especiales y spa;95.42;2;2;0;0
Elite 4;Plan diseñado para principiantes;107.25;13;17;1;0
Plus 5;Acceso a áreas especiales y spa;100.71;15;16;1;0
Diamond 6;Incluye clases grupales ilimitadas;90.26;5;20;1;0
Diamond 7;Incluye clases grupales ilimitadas;31.1;11;6;1;1
Max 8;Incluye clases grupales ilimitadas;99.66;1;18;0;1
Gold 9;Membresía avanzada para atletas;48.56;1;5;1;0
Pro 10;Perfecto para uso ocasional;50.73;7;1;1;0
Diamond 11;Membresía avanzada para atletas;99.14;20;0;0;0
Max 12;Plan diseñado para principiantes;91.73;12;4;1;1
Silver 13;Plan económico con beneficios limitados;52.78;22;2;0;1
Pro 14;Plan económico con beneficios limitados;55.82;18;12;0;0
Elite 15;Acceso total a todas las áreas;119.92;21;4;0;1
Plus 16;Ideal para entrenamiento de fuerza;34.2;6;20;0;0
Diamond 17;Perfecto para uso ocasional;18.59;22;20;1;1
Plus 18;Ideal para entrenamiento de fuerza;115.78;23;13;0;1
Elite 19;Plan diseñado para principiantes;53.14;22;17;0;0
Starter 20;Acceso al gimnasio y máquinas básicas;26.3;3;13;0;0
Silver 21;Plan diseñado para principiantes;14.29;7;6;0;1
Gold 22;Plan económico con beneficios limitados;18.81;2;20;0;0
Diamond 23;Incluye clases grupales ilimitadas;49.55;6;20;0;0
Starter 24;Acceso a áreas especiales y spa;19.32;8;19;0;1
Premium 25;Ideal para entrenamiento de fuerza;97.86;18;0;1;0
Diamond 26;Plan diseñado para principiantes;76.43;6;6;0;0
Silver 27;Acceso al gimnasio y máquinas básicas;111.96;4;12;1;0
Starter 28;Plan económico con beneficios limitados;33.72;3;19;1;1
Silver 29;Incluye clases grupales ilimitadas;67.75;8;18;0;1
Premium 30;Plan diseñado para principiantes;115.01;8;0;1;1
Gold 31;Perfecto para uso ocasional;110.85;4;11;1;1
Silver 32;Incluye clases grupales ilimitadas;61.28;14;1;0;1
Diamond 33;Perfecto para uso ocasional;64.02;8;19;0;1
Premium 34;Acceso total a todas las áreas;105.14;21;5;0;1
Basic 35;Acceso al gimnasio y máquinas básicas;79.87;4;3;0;0
Plus 36;Acceso al gimnasio y máquinas básicas;71.11;23;17;0;0
Premium 37;Plan diseñado para principiantes;118.18;8;20;1;1
Max 38;Incluye clases grupales ilimitadas;80.04;24;11;1;0
Premium 39;Incluye entrenador personal mensual;67.63;6;3;0;0
Basic 40;Acceso al gimnasio y máquinas básicas;41.78;16;0;0;1
Premium 41;Incluye clases grupales ilimitadas;88.32;6;1;1;0
Basic 42;Ideal para entrenamiento de fuerza;110.61;6;8;1;0
Max 43;Plan económico con beneficios limitados;11.64;1;3;1;1
Diamond 44;Incluye entrenador personal mensual;87.96;5;6;0;0
Gold 45;Membresía avanzada para atletas;69.76;5;4;1;1
Premium 46;Acceso total a todas las áreas;89.2;12;7;0;1
Basic 47;Incluye clases grupales ilimitadas;46.13;19;19;1;0
Elite 48;Plan diseñado para principiantes;40.47;15;18;0;0
Pro 49;Membresía avanzada para atletas;25.18;16;11;1;1
Pro 50;Ideal para entrenamiento de fuerza;110.83;10;14;1;0
Starter 51;Acceso a áreas especiales y spa;20.09;3;10;1;1
Starter 52;Incluye clases grupales ilimitadas;47.91;18;12;0;1
Gold 53;Acceso total a todas las áreas;77.3;12;17;0;0
Elite 54;Ideal para entrenamiento de fuerza;32.0;7;15;0;0
Gold 55;Acceso total a todas las áreas;11.29;20;3;0;1
Elite 56;Acceso a áreas especiales y spa;12.39;5;0;0;1
Diamond 57;Plan económico con beneficios limitados;37.56;4;8;1;0
Gold 58;Acceso al gimnasio y máquinas básicas;34.24;12;20;0;0
Plus 59;Perfecto para uso ocasional;76.59;13;6;0;0
Diamond 60;Perfecto para uso ocasional;17.77;10;15;0;0
Basic 61;Membresía avanzada para atletas;49.39;14;10;0;1
Max 62;Acceso total a todas las áreas;108.78;11;11;1;0
Starter 63;Acceso a áreas especiales y spa;36.33;14;19;0;1
Silver 64;Plan diseñado para principiantes;41.97;10;0;1;1
Premium 65;Incluye entrenador personal mensual;64.22;16;1;0;1
Starter 66;Plan económico con beneficios limitados;37.61;8;10;0;0
Gold 67;Perfecto para uso ocasional;89.34;5;17;1;0
Gold 68;Acceso total a todas las áreas;114.58;7;4;1;1
Starter 69;Ideal para entrenamiento de fuerza;59.35;20;18;1;1
Diamond 70;Membresía avanzada para atletas;114.38;18;10;1;0
Basic 71;Acceso total a todas las áreas;118.45;8;10;1;1
Premium 72;Ideal para entrenamiento de fuerza;111.86;12;15;0;0
Elite 73;Plan diseñado para principiantes;66.48;2;1;1;0
Diamond 74;Acceso total a todas las áreas;65.92;18;14;0;1
Silver 75;Acceso a áreas especiales y spa;54.3;5;17;0;0
Premium 76;Perfecto para uso ocasional;109.12;13;20;0;0
Pro 77;Membresía avanzada para atletas;27.95;2;8;1;0
Premium 78;Perfecto para uso ocasional;22.61;10;3;0;1
Silver 79;Acceso a áreas especiales y spa;82.2;19;3;0;0
Premium 80;Plan diseñado para principiantes;87.73;7;7;1;1
Plus 81;Membresía avanzada para atletas;99.64;14;12;1;0
Diamond 82;Acceso total a todas las áreas;65.8;24;17;0;0
Starter 83;Plan diseñado para principiantes;76.32;15;6;1;1
Diamond 84;Membresía avanzada para atletas;97.77;10;19;1;0
Pro 85;Acceso a áreas especiales y spa;76.25;8;18;0;1
Basic 86;Perfecto para uso ocasional;84.97;12;9;0;0
Starter 87;Incluye clases grupales ilimitadas;111.71;9;7;0;1
